Artist,Date,City,Venue, Attendance ,Year,Longitude,Latitude
SuperM,11/13/19,Chicago,United Center,,2019,-87.6501,41.85
Tiffany,11/2/19,Chicago,Vic Theatre,,2019,-87.6501,41.85
TWICE,7/23/19,Chicago,Wintrust Area,"5,911",2019,-87.6501,41.85
EVERGLOW,3/11/20,Chicago,Vic Theatre,,2020,-87.6501,41.85
Seventeen,1/12/20,Chicago,United Center,,2020,-87.6501,41.85
Stray Kids,2/5/20,Chicago,Rosemont Theatre,,2020,-87.6501,41.85
(G)IDLE,8/3/22,Chicago,Radius,,2022,-87.6501,41.85
ATEEZ,1/18/22,Chicago,Wintrust Area,"6,291",2022,-87.6501,41.85
ATEEZ,11/19/22,Chicago,Wintrust Arena,,2022,-87.6501,41.85
BLACKPINK,11/10/22,Chicago,United Center,"25,582",2022,-87.6501,41.85
BLACKPINK,11/11/22,Chicago,United Center,,2022,-87.6501,41.85
BLITZERS,2/17/22,Chicago,Northstore Pac,,2022,-87.6501,41.85
Brave Girls,7/16/22,Chicago,Avondale Music Hall,,2022,-87.6501,41.85
CIX,5/7/22,Chicago,The Vic,,2022,-87.6501,41.85
DKB,6/12/22,Chicago,Concord Music Hall,,2022,-87.6501,41.85
Dreamcatcher,7/7/22,Chicago,Radius,,2022,-87.6501,41.85
Itzy,11/7/22,Chicago,Rosemont Theatre,,2022,-87.6501,41.85
KARD,8/16/22,Chicago,House of Blues Chicago,,2022,-87.6501,41.85
Kim Woo Jin,11/6/22,Chicago,Avondale Music Hall,,2022,-87.6501,41.85
LOONA,8/11/22,Chicago,Radius,,2022,-87.6501,41.85
MCND,8/31/22,Chicago,Bottom Lounge,,2022,-87.6501,41.85
Monsta X,5/28/22,Chicago,The Chicago Theatre,,2022,-87.6501,41.85
OMEGA X,10/10/22,Chicago,Concord Music Hall,,2022,-87.6501,41.85
ONEUS,3/1/22,Chicago,Concord Music Hall,,2022,-87.6501,41.85
P1Harmony,5/11/22,Chicago,Copernicus Center,,2022,-87.6501,41.85
SF9,12/2/22,Chicago,Copernicus Center,,2022,-87.6501,41.85
Stray Kids,7/1/22,Chicago,United Center,"12,718",2022,-87.6501,41.85
Sunmi,9/2/22,Chicago,Rivera Theatre,,2022,-87.6501,41.85
THE BOYZ,6/1/22,Chicago,Rosemont Theatre,,2022,-87.6501,41.85
WEi,9/25/22,Chicago,Avondale Theater,,2022,-87.6501,41.85
Aespa,8/30/23,Chicago,Rosemont Theatre,,2023,-87.6501,41.85
CIX,3/16/23,Chicago,Radius,,2023,-87.6501,41.85
CRAVITY,6/18/23,Chicago,Copernicus Center,,2023,-87.6501,41.85
Dreamcatcher,3/10/23,Chicago,Radius,,2023,-87.6501,41.85
ENHYPEN,10/22/23,Chicago,United Center,"12,748",2023,-87.6501,41.85
EVERGLOW,11/15/23,Chicago,Patio Theater,,2023,-87.6501,41.85
Kang Daniel,3/9/23,Chicago,House of Blues,,2023,-87.6501,41.85
Loossemble,9/24/23,Chicago,The Chicago Theatre,,2023,-87.6501,41.85
N.Flying,1/15/23,Chicago,Copernicus Center,,2023,-87.6501,41.85
NCT 127,1/9/23,Chicago,United Center,,2023,-87.6501,41.85
NCT 127,1/9/23,Chicago,United Center,,2023,-87.6501,41.85
NCT Dream,4/7/23,Chicago,AllState Arena,,2023,-87.6501,41.85
OnlyOneOf,4/2/23,Chicago,Park West,,2023,-87.6501,41.85
P1Harmony,1/29/23,Chicago,Chicago Theater,,2023,-87.6501,41.85
pH1,2/5/23,Chicago,Concord Music Hall,,2023,-87.6501,41.85
PIXY,4/26/23,Chicago,Logan Square Auditorium,,2023,-87.6501,41.85
TRI.BE,6/19/23,Chicago,North Shore Arts Center,,2023,-87.6501,41.85
TWICE,6/28/23,Chicago,United Center,"25,286",2023,-87.6501,41.85
TWICE,6/29/23,Chicago,United Center,"25,286",2023,-87.6501,41.85
WOODZ,12/4/23,Chicago,Arie Crown Theater,,2023,-87.6501,41.85
xikers,10/24/23,Chicago,Patio Theatre,,2023,-87.6501,41.85
ARTMS,9/10/24,Chicago, Copernicus Center ,,2024,-87.6501,41.85
Billlie,11/17/24,Chicago, Copernicus Center ,,2024,-87.6501,41.85
BM,5/18/24,Chicago,The Vic,,2024,-87.6501,41.85
CIX,5/22/24,Chicago,Copernicus Center,,2024,-87.6501,41.85
Dreamcatcher,11/6/24,Chicago,Chicago Theatre,,2024,-87.6501,41.85
EVERGLOW,9/27/24,Chicago,The Vic Theatre,,2024,-87.6501,41.85
Itzy,6/26/24,Chicago,Rosemont Theatre,,2024,-87.6501,41.85
Kiss Of Life,11/12/24,Chicago,Riviera Theatre,,2024,-87.6501,41.85
MCND,2/11/24,Chicago,Distro Music Hall,,2024,-87.6501,41.85
Moonbyul,11/23/24,Chicago,Athenaeum Center Theater,,2024,-87.6501,41.85
NCT Dream,9/26/24,Chicago,United Center,,2024,-87.6501,41.85
P1Harmony,5/20/24,Chicago,Credit Union 1 Arena,,2024,-87.6501,41.85
XG,10/21/24,Chicago,Wintrust Arena,,2024,-87.6501,41.85
Dreamcatcher,9/7/23,Cincinnati,Taft Theatre,,2023,-84.5125,39.1
ONEUS,2/25/22,Cleveland,Agora Ballroom,,2022,-81.6697,41.4822
PIXY,4/30/23,"Columbus, Ohio",The Summit Music Hall,,2023,-83.0006,39.9622
TRI.BE,6/15/23,"Columbus, Ohio",King of Clubs,,2023,-83.0006,39.9622
Itzy,11/1/22,Dallas,Toyota Music Factory,,2022,-96.8089,32.7792
TXT,7/14/22,Dallas,Texas Trust CU Theatre,"6,202",2022,-96.8089,32.7792
ATEEZ,3/17/19,Dallas,Granada Theatre,,2019,-96.8089,32.7792
Dreamcatcher,12/11/19,Dallas,South Side Music Hall,,2019,-96.8089,32.7792
Jay Park,11/20/19,Dallas,The Bomb Factory,,2019,-96.8089,32.7792
ONEUS,11/10/19,Dallas,Granada Theatre,,2019,-96.8089,32.7792
Red Velvet,2/10/19,Dallas,The Theatre at Grand Prairie,"3,509",2019,-96.8089,32.7792
Tiffany,11/16/19,Dallas,Trees,,2019,-96.8089,32.7792
EVERGLOW,3/6/20,Dallas,South Side Music Hall,,2020,-96.8089,32.7792
Seventeen,1/14/20,Dallas,Toyota Music Factory,,2020,-96.8089,32.7792
Stray Kids,2/2/20,Dallas,The Theatre at Grand Prairie,,2020,-96.8089,32.7792
(G)IDLE,7/30/22,Dallas,The Factory,,2022,-96.8089,32.7792
ATEEZ,1/27/22,Dallas,Texas Trust CU Theatre,"6,269",2022,-96.8089,32.7792
ATEEZ,11/16/22,Dallas,Dickies Arena,,2022,-96.8089,32.7792
BLACKPINK,10/25/22,Dallas,American Airlines Center,"23,528",2022,-96.8089,32.7792
BLACKPINK,10/26/22,Dallas,American Airlines Center,,2022,-96.8089,32.7792
Brave Girls,7/17/22,Dallas,South Side Music Hall,,2022,-96.8089,32.7792
CIX,5/5/22,Dallas,House of Blues Dallas,,2022,-96.8089,32.7792
DKB,6/15/22,Dallas,South Side Music Hall,,2022,-96.8089,32.7792
KARD,8/30/22,Dallas,Majestic Theatre,,2022,-96.8089,32.7792
Kim Woo Jin,11/10/22,Dallas,Viva Lounge,,2022,-96.8089,32.7792
LOONA,8/25/22,Dallas,713 Music Hall,,2022,-96.8089,32.7792
OMEGA X,10/15/22,Dallas,House of Blues Dallas,,2022,-96.8089,32.7792
ONEUS,3/6/22,Dallas,South Side Music Hall,,2022,-96.8089,32.7792
SF9,12/5/22,Dallas,Music Hall at Fair Park,,2022,-96.8089,32.7792
TWICE,2/22/22,Dallas,Dickies Arena,"10,357",2022,-96.8089,32.7792
TWICE,2/22/22,Dallas,Dickies Arena,"10,357",2022,-96.8089,32.7792
WEi,9/19/22,Dallas,South Side Music Hall,,2022,-96.8089,32.7792
Aespa,8/18/23,Dallas,The Pavillion at Toyota Music Factory,,2023,-96.8089,32.7792
Chuu,12/17/23,Dallas,Music Hall at Fair Park,,2023,-96.8089,32.7792
CRAVITY,6/23/23,Dallas,House of Blues,,2023,-96.8089,32.7792
ENHYPEN,10/14/23,Dallas,American Airlines Center,"11,687",2023,-96.8089,32.7792
Kang Daniel,3/12/23,Dallas,House of Blues,,2023,-96.8089,32.7792
NCT Dream,4/14/23,Dallas,Texas Trust CU Theatre,,2023,-96.8089,32.7792
NMIXX,5/8/23,Dallas,The Pavilion at Toyota Music Factory,,2023,-96.8089,32.7792
ONEUS,1/27/23,Dallas,Will Rogers Stadium,,2023,-96.8089,32.7792
OnlyOneOf,4/7/23,Dallas,South Side Music Hall,,2023,-96.8089,32.7792
P1Harmony,2/16/23,Dallas,Music Hall at Fair Park,,2023,-96.8089,32.7792
pH1,1/28/23,Dallas,The Studio,,2023,-96.8089,32.7792
PIXY,4/13/23,Dallas,The Loft,,2023,-96.8089,32.7792
TRI.BE,6/28/23,Dallas,Gilley's,,2023,-96.8089,32.7792
TWICE,6/21/23,Dallas,Globe Life Field,"24,925",2023,-96.8089,32.7792
ARTMS,8/27/24,Dallas, Music Hall at Fair Park ,,2024,-96.8089,32.7792
Billlie,12/8/24,Dallas, The Studio at the Factory ,,2024,-96.8089,32.7792
BM,5/16/24,Dallas,Southside Music Hall,,2024,-96.8089,32.7792
CIX,5/21/24,Dallas,South Side Music Hall,,2024,-96.8089,32.7792
EVERGLOW,10/4/24,Dallas,House of Blues,,2024,-96.8089,32.7792
Hyolyn,11/2/24,Dallas,Southside Music Hall @ Gilley's Dallas,,2024,-96.8089,32.7792
Kiss Of Life,11/27/24,Dallas,The Factory in Deep Ellum,,2024,-96.8089,32.7792
MCND,2/14/24,Dallas,South Side Music Hall,,2024,-96.8089,32.7792
Moonbyul,11/17/24,Dallas,Irving Arts Center,,2024,-96.8089,32.7792
P1Harmony,5/17/24,Dallas,Music Hall at Fair Park,,2024,-96.8089,32.7792
THE BOYZ,7/23/24,Dallas,Music Hall at Fair Park,,2024,-96.8089,32.7792
Whee In,5/22/24,Dallas,Majestic Theatre,,2024,-96.8089,32.7792
Tiffany,11/18/19,Denver,Bluebird Theater,,2019,-104.9915,39.742
Brave Girls,7/19/22,Denver,Fox Theatre,,2022,-104.9915,39.742
DKB,6/17/22,Denver,Aggie Theatre,,2022,-104.9915,39.742
Dreamcatcher,7/12/22,Denver,Fillmore Auditorium,,2022,-104.9915,39.742
KARD,8/28/22,Denver,Fillmore Auditorium,,2022,-104.9915,39.742
LOONA,8/6/22,Denver,Fillmore Auditorium,,2022,-104.9915,39.742
OMEGA X,10/12/22,Denver,Fillmore Auditorium,,2022,-104.9915,39.742
P1Harmony,5/13/22,Denver,Fillmore Auditorium,,2022,-104.9915,39.742
SF9,12/8/22,Denver,Fillmore Auditorium,,2022,-104.9915,39.742
Chuu,12/7/23,Denver,Filmore Auditorium,,2023,-104.9915,39.742
Dreamcatcher,3/12/23,Denver,Fillmore Theater,,2023,-104.9915,39.742
EVERGLOW,11/17/23,Denver,Fillmore Auditorium,,2023,-104.9915,39.742
P1Harmony,1/24/23,Denver,Fillmore Auditorium,,2023,-104.9915,39.742
PIXY,4/18/23,Denver,The Oriental Theater,,2023,-104.9915,39.742
TRI.BE,6/26/23,Denver,The Oriental Theater,,2023,-104.9915,39.742
Dreamcatcher,11/10/24,Denver,Filmore Auditorium,,2024,-104.9915,39.742
Moonbyul,11/15/24,Denver,Gates Concert Hall,,2024,-104.9915,39.742
Monsta X,5/26/22,Detroit,Fox Theatre,,2022,-83.0475,42.3317
TRI.BE,6/16/23,Detroit,Crofoot Ballroom,,2023,-83.0475,42.3317
SuperM,11/15/19,"Duluth, Minnesota",Infinite Energy Arena,,2019,-92.0981,46.7869
TXT,5/19/23,"Duluth, Minnesota",Gas South Arena,"17,804",2023,-92.0981,46.7869
TXT,5/20/23,"Duluth, Minnesota",Gas South Arena,,2023,-92.0981,46.7869
ATEEZ,7/30/24,"Duluth, Minnesota",Gas South Arena,,2024,-92.0981,46.7869
ATEEZ,7/31/24,"Duluth, Minnesota",Gas South Arena,,2024,-92.0981,46.7869
NCT Dream,9/19/24,"Duluth, Minnesota",Gas South Arena,,2024,-92.0981,46.7869
BTS,5/18/19,"East Rutherford, New Jersey",MetLife Stadium,"98,574",2019,-74.0969,40.8303
BTS,5/19/19,"East Rutherford, New Jersey",MetLife Stadium,,2019,-74.0969,40.8303
SEVENTEEN,10/25/24,"Elmont, New York",UBS Arena,,2024,-73.7025,40.7017
SEVENTEEN,10/27/24,"Elmont, New York",UBS Arena,,2024,-73.7025,40.7017
SuperM,11/17/19,"Fairfax, Virginia",EagleBank Arena,,2019,-77.3432,38.83409
Monsta X,5/24/22,"Fairfax, Virginia",EagleBank Arena,,2022,-77.3432,38.83409
Itzy,6/20/24,"Fairfax, Virginia",EagleBank Arena,,2024,-77.3432,38.83409
ARTMS,8/21/24,"Fort Lauderdale, Florida", Broward Center ,,2024,-80.1419,26.1358
Whee In,5/29/24,"Fort Lauderdale, Florida",Broward Center,,2024,-80.1419,26.1358
BTS,9/15/18,"Fort Worth, Texas",Fort Worth Convention Center,"17,452",2018,-97.3325,32.7564
BTS,9/16/18,"Fort Worth, Texas",Fort Worth Convention Center,"17,452",2018,-97.3325,32.7564
Wanna One,6/26/18,"Fort Worth, Texas",Fort Worth Convention Center,,2018,-97.3325,32.7564
BLACKPINK,5/8/19,"Fort Worth, Texas",Fort Worth Convention Center,"9,107",2019,-97.3325,32.7564
SuperM,11/11/19,"Fort Worth, Texas",Dickies Arena,,2019,-97.3325,32.7564
ENHYPEN,10/6/22,"Fort Worth, Texas",Dickies Arena,"10,043",2022,-97.3325,32.7564
Monsta X,6/6/22,"Fort Worth, Texas",Dickies Arena,,2022,-97.3325,32.7564
CIX,3/20/23,"Fort Worth, Texas",Will Rogers Stadium,,2023,-97.3325,32.7564
Loossemble,9/29/23,"Fort Worth, Texas",Will Rogers Auditorium,,2023,-97.3325,32.7564
Stray Kids,3/26/23,"Fort Worth, Texas",Dickies Arena,"22,626",2023,-97.3325,32.7564
Stray Kids,3/27/23,"Fort Worth, Texas",Dickies Arena,,2023,-97.3325,32.7564
tripleS,10/11/23,"Fort Worth, Texas",Will Rogers,,2023,-97.3325,32.7564
xikers,10/28/23,"Fort Worth, Texas",Will Rogers Auditorium,,2023,-97.3325,32.7564
IVE,3/20/24,"Fort Worth, Texas",Dickies Arena,"7,320",2024,-97.3325,32.7564
NCT Dream,9/17/24,"Fort Worth, Texas",Dickies Arena,,2024,-97.3325,32.7564
Dreamcatcher,2/28/23,Atlanta,CocaCola Roxy,,2023,-84.3903,33.7569
ENHYPEN,10/10/23,"Glendale, Arizona",Desert Diamond Arena,"8,551",2023,-112.2,33.5833
BTS,7/18/15,"Grand Prairie, Texas",Verizon Theatre at Grand Prairie,,2015,-97.0169,32.7153
(G)IDLE,8/9/23,"Grand Prairie, Texas",Texas Trust CU Theatre,,2023,-97.0169,32.7153
XG,10/12/24,"Grand Prairie, Texas",Texas Trust CU Theatre,,2024,-97.0169,32.7153
Jay Park,11/27/19,Honolulu,Hawaii Theatre,,2019,-157.8572,21.3047
TXT,7/17/22,Houston,Smart Financial Centre,"6,250",2022,-95.3831,29.7628
Stray Kids,5/19/19,Houston,Revention Music Center,,2019,-95.3831,29.7628
Tiffany,11/15/19,Houston,White Oak Music Hall,,2019,-95.3831,29.7628
Itzy,1/22/20,Houston,Bayou Music Center,,2020,-95.3831,29.7628
Seventeen,1/15/20,Houston,Smart Financial Centre,,2020,-95.3831,29.7628
(G)IDLE,8/1/22,Houston,The Hobby Center,,2022,-95.3831,29.7628
BLACKPINK,10/29/22,Houston,Toyota Center,"23,480",2022,-95.3831,29.7628
BLACKPINK,10/30/22,Houston,Toyota Center,,2022,-95.3831,29.7628
ENHYPEN,10/8/22,Houston,Smart Financial Centre,"6,122",2022,-95.3831,29.7628
Itzy,11/3/22,Houston,Smart Financial Centre,,2022,-95.3831,29.7628
KARD,9/1/22,Houston,Bayou Music Center,,2022,-95.3831,29.7628
LOONA,8/26/22,Houston,Pepsi Center,,2022,-95.3831,29.7628
ONEUS,3/7/22,Houston,White Oak Music Hall,,2022,-95.3831,29.7628
P1Harmony,3/18/22,Houston,713 Music Hall,,2022,-95.3831,29.7628
WEi,9/21/22,Houston,Warehouse Live,,2022,-95.3831,29.7628
CIX,3/18/23,Houston,Bayou Music Center,,2023,-95.3831,29.7628
E'LAST,5/6/23,Houston,Cullen Performance Hall,,2023,-95.3831,29.7628
ENHYPEN,10/13/23,Houston,Toyota Center,"9,405",2023,-95.3831,29.7628
Kang Daniel,3/11/23,Houston,House of Blues,,2023,-95.3831,29.7628
Loossemble,9/26/23,Houston,Smart Financial Centre at Sugar Land,,2023,-95.3831,29.7628
N.Flying,1/20/23,Houston,Warehouse Live,,2023,-95.3831,29.7628
NCT 127,1/11/23,Houston,Toyota Music Factory,,2023,-95.3831,29.7628
NCT 127,1/11/23,Houston,Toyota Center,,2023,-95.3831,29.7628
NCT Dream,4/12/23,Houston,Toyota Center,,2023,-95.3831,29.7628
NMIXX,5/9/23,Houston,Bayou Music Center,,2023,-95.3831,29.7628
ONEUS,1/29/23,Houston,713 Music Hall,,2023,-95.3831,29.7628
P1Harmony,1/26/23,Houston,713 Music Hall,,2023,-95.3831,29.7628
pH1,1/27/23,Houston,Warehouse Live,,2023,-95.3831,29.7628
PIXY,4/16/23,Houston,Scout Bar,,2023,-95.3831,29.7628
tripleS,10/9/23,Houston,Bayou Music Center,,2023,-95.3831,29.7628
